Date,Price,Open,High,Low,Vol.,Change %,Pred,new
12-Jul-17,27889,27919,28033,27840,10.47K,0.06%,142,163.3396911
13-Jul-17,27868,27945,27968,27851,7.67K,-0.08%,199,40.07141575
14-Jul-17,28022,27850,28150,27753,14.38K,0.55%,432,572.8479804
17-Jul-17,28147,28050,28173,28050,7.52K,0.45%,71,220.4253476
18-Jul-17,28280,28160,28299,28160,9.35K,0.47%,101,259.5923295
19-Jul-17,28270,28270,28285,28150,8.47K,-0.04%,465,135.5754885
20-Jul-17,28345,28220,28380,28155,11.27K,0.27%,350,351.5183804
21-Jul-17,28541,28333,28559,28300,9.54K,0.69%,322,469.2056184
24-Jul-17,28530,28531,28612,28480,7.97K,-0.04%,121,131.2317416
25-Jul-17,28490,28535,28584,28410,11.13K,-0.14%,361,129.4899683
26-Jul-17,28396,28462,28462,28320,8.09K,-0.33%,436,76.38107345
27-Jul-17,28477,28455,28613,28376,10.46K,0.29%,202,259.843565
28-Jul-17,28596,28533,28620,28405,8.24K,0.42%,551,279.4456962
31-Jul-17,28588,28572,28628,28510,6.20K,-0.03%,224,134.3228341
1-Aug-17,28514,28623,28623,28447,2.23K,-0.26%,486,67.41452526
2-Aug-17,28486,28451,28586,28373,0.58K,-0.10%,247,248.8483065
3-Aug-17,28447,28400,28500,28299,0.48K,-0.14%,398,249.0512032
4-Aug-17,28373,28525,28585,28355,0.07K,-0.26%,316,78.146006
7-Aug-17,28419,28332,28437,28320,3.95K,0.16%,117,204.4090042
8-Aug-17,28357,28416,28497,28283,7.40K,-0.22%,333,155.5599123
9-Aug-17,28800,28415,28821,28415,11.58K,1.56%,364,796.5009678
10-Aug-17,29130,28845,29173,28845,12.40K,1.15%,242,616.2407696
11-Aug-17,29158,29147,29300,29032,11.32K,0.10%,329,280.1631303
14-Aug-17,29042,29100,29116,28982,7.74K,-0.40%,340,76.27741357
16-Aug-17,28878,28978,28978,28727,10.49K,-0.56%,804,152.3193511
17-Aug-17,29093,28900,29174,28800,9.73K,0.74%,512,570.8049306
18-Aug-17,29109,29070,29380,29013,12.43K,0.05%,-4,407.2143522
21-Aug-17,29224,29050,29248,29030,7.42K,0.40%,230,393.4568378
22-Aug-17,29061,29200,29200,28980,8.75K,-0.56%,602,81.61490683
23-Aug-17,29090,29063,29148,29023,7.27K,0.10%,129,152.2885642
24-Aug-17,29021,29051,29107,28980,7.17K,-0.24%,168,97.17967564
25-Aug-17,29086,29001,29134,28716,7.04K,0.22%,1177,508.3858476
28-Aug-17,29425,29101,29440,29095,9.56K,1.17%,333,672.9130435
29-Aug-17,29588,29469,29810,29425,11.07K,0.55%,73,506.1327103
30-Aug-17,29540,29640,29640,29405,8.46K,-0.16%,740,136.0788981
31-Aug-17,29756,29430,29832,29421,6.94K,0.73%,286,741.6798205
1-Sep-17,29788,29687,29941,29671,1.15K,0.11%,12,372.0646759
4-Sep-17,30174,30187,30250,29800,0.27K,1.30%,1459,442.647651
