Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Day_Perc_Change,Trend
HINDUNILVR,EQ,16-Mar-2018,1299.95,1303.0,1310.7,1281.1,1309.95,1299.15,1297.72,3646692,4732400867.4,63713,3019009,82.79,3,2018,-0.06154082849340048,Slight or No change
HINDUNILVR,EQ,19-Mar-2018,1299.15,1308.0,1318.2,1303.25,1312.0,1309.4,1310.78,1244199,1630867059.05,51570,827054,66.47,3,2018,0.7889774083054357,Slight positive
HINDUNILVR,EQ,20-Mar-2018,1309.4,1306.0,1320.5,1306.0,1314.55,1313.25,1313.66,1249242,1641079686.25,56195,954063,76.37,3,2018,0.2940277989919027,Slight or No change
HINDUNILVR,EQ,21-Mar-2018,1313.25,1313.25,1323.1,1305.0,1317.0,1315.6,1316.31,1698614,2235910391.5,44203,1324624,77.98,3,2018,0.17894536455358434,Slight or No change
HINDUNILVR,EQ,22-Mar-2018,1315.6,1312.5,1320.5,1309.05,1312.9,1311.85,1311.92,950972,1247598556.8,52957,717285,75.43,3,2018,-0.28504104591060564,Slight or No change
HINDUNILVR,EQ,23-Mar-2018,1311.85,1290.0,1314.0,1283.8,1297.0,1301.65,1298.37,1301609,1689972398.3,64313,842190,64.7,3,2018,-0.7775279185882389,Other
HINDUNILVR,EQ,26-Mar-2018,1301.65,1303.0,1329.9,1298.0,1324.5,1324.3,1317.72,1032138,1360067556.9,53233,706786,68.48,3,2018,1.740099104982118,positive
HINDUNILVR,EQ,27-Mar-2018,1324.3,1339.0,1340.0,1321.15,1331.0,1332.8,1333.16,1040328,1386921726.7,39747,762265,73.27,3,2018,0.6418485237484006,Slight positive
HINDUNILVR,EQ,28-Mar-2018,1332.8,1326.05,1339.4,1322.2,1335.4,1333.35,1333.31,1337677,1783539491.7,53838,904501,67.62,3,2018,0.04126650660263298,Slight or No change
HINDUNILVR,EQ,02-Apr-2018,1333.35,1315.0,1360.55,1315.0,1357.0,1351.3,1337.86,708747,948200869.05,42754,447283,63.11,4,2018,1.3462331720853538,positive
HINDUNILVR,EQ,03-Apr-2018,1351.3,1347.1,1355.5,1338.65,1348.0,1348.4,1344.06,979726,1316807744.4,53886,754899,77.05,4,2018,-0.2146081551098855,Slight or No change
HINDUNILVR,EQ,04-Apr-2018,1348.4,1348.0,1360.0,1339.55,1358.0,1357.45,1352.9,912607,1234666527.2,61354,709438,77.74,4,2018,0.6711658261643327,Slight positive
HINDUNILVR,EQ,05-Apr-2018,1357.45,1380.0,1383.8,1362.7,1382.95,1382.2,1375.38,588716,809709192.2,21116,355642,60.41,4,2018,1.8232715753803141,positive
HINDUNILVR,EQ,06-Apr-2018,1382.2,1381.95,1381.95,1362.45,1375.0,1374.8,1371.58,633937,869493671.7,24800,355621,56.1,4,2018,-0.535378382289109,Other
HINDUNILVR,EQ,09-Apr-2018,1374.8,1367.95,1396.4,1367.5,1395.5,1391.6,1387.27,923543,1281205841.1,45419,553137,59.89,4,2018,1.2219959266802416,positive
HINDUNILVR,EQ,10-Apr-2018,1391.6,1398.8,1402.8,1387.0,1390.25,1391.5,1392.16,969036,1349050649.95,34357,764077,78.85,4,2018,-0.007185972980738864,Slight or No change
HINDUNILVR,EQ,11-Apr-2018,1391.5,1393.0,1420.5,1385.55,1406.0,1409.15,1406.67,1015714,1428771071.75,32889,624986,61.53,4,2018,1.2684153790873287,positive
HINDUNILVR,EQ,12-Apr-2018,1409.15,1408.0,1416.0,1397.1,1412.0,1412.75,1406.2,510556,717942270.9,25054,294295,57.64,4,2018,0.2554731575772573,Slight or No change
HINDUNILVR,EQ,13-Apr-2018,1412.75,1412.0,1413.85,1399.2,1411.9,1410.55,1406.09,534981,752229295.8,24995,238909,44.66,4,2018,-0.1557246505043408,Slight or No change
HINDUNILVR,EQ,16-Apr-2018,1410.55,1408.9,1423.2,1404.85,1419.05,1419.5,1414.59,325041,459799977.05,16700,144243,44.38,4,2018,0.6345042713834959,Slight positive
HINDUNILVR,EQ,17-Apr-2018,1419.5,1420.5,1450.5,1419.8,1450.5,1445.55,1438.77,1176082,1692114287.5,56561,826044,70.24,4,2018,1.8351532229658352,positive
HINDUNILVR,EQ,18-Apr-2018,1445.55,1450.5,1456.15,1440.0,1450.0,1450.5,1449.94,765225,1109529064.2,36806,531300,69.43,4,2018,0.3424302168724802,Slight or No change
HINDUNILVR,EQ,19-Apr-2018,1450.5,1451.4,1467.9,1448.35,1455.5,1454.2,1454.72,682820,993309785.4,29280,367654,53.84,4,2018,0.2550844536366892,Slight or No change
HINDUNILVR,EQ,20-Apr-2018,1454.2,1442.0,1472.15,1441.2,1472.15,1467.8,1455.55,674146,981251051.35,30418,354346,52.56,4,2018,0.9352221152523654,Slight positive
HINDUNILVR,EQ,23-Apr-2018,1467.8,1471.0,1471.0,1450.0,1452.8,1452.75,1455.1,395622,575670581.2,30417,225848,57.09,4,2018,-1.0253440523232071,Other
